stock_id,equity,year,season
3229,596276.0,2025,2
3231,205196849.0,2025,2
3257,1563729.0,2025,2
3266,6243824.0,2025,2
3296,1137617.0,2025,2
3305,4401461.0,2025,2
3308,1023417.0,2025,2
3311,2530761.0,2025,2
3312,2849961.0,2025,2
3321,308785.0,2025,2
3338,1785431.0,2025,2
3346,3197117.0,2025,2
3356,1958867.0,2025,2
3376,16476814.0,2025,2
3380,12412155.0,2025,2
3406,21773690.0,2025,2
3413,15984956.0,2025,2
3416,3123700.0,2025,2
3419,1003325.0,2025,2
3432,317550.0,2025,2
3437,2301183.0,2025,2
3443,10802887.0,2025,2
3447,1107418.0,2025,2
3450,7050427.0,2025,2
3481,214964055.0,2025,2
3494,792161.0,2025,2
3501,6313903.0,2025,2
3504,2722737.0,2025,2
3515,10162214.0,2025,2
3518,1302852.0,2025,2
3528,1665833.0,2025,2
3530,2281768.0,2025,2
3532,24185685.0,2025,2
3533,32913025.0,2025,2
3535,983437.0,2025,2
3543,2504194.0,2025,2
3545,9470595.0,2025,2
3550,1132086.0,2025,2
3557,2474230.0,2025,2
3563,5330397.0,2025,2
3576,10693505.0,2025,2
3583,5316428.0,2025,2
3588,1689710.0,2025,2
3591,2875536.0,2025,2
3592,10968681.0,2025,2
3593,197614.0,2025,2
3596,15274351.0,2025,2
3605,6133517.0,2025,2
3607,1572883.0,2025,2
3617,8263739.0,2025,2
3622,7191665.0,2025,2
3645,3168894.0,2025,2
3652,1855233.0,2025,2
3653,15499934.0,2025,2
3661,35140090.0,2025,2
3665,36607880.0,2025,2
3669,3101447.0,2025,2
3673,36408420.0,2025,2
3679,4139547.0,2025,2
3686,697192.0,2025,2
3694,3101028.0,2025,2
3701,6328699.0,2025,2
3702,69453441.0,2025,2
3703,28293399.0,2025,2
3704,10746930.0,2025,2
3705,8325135.0,2025,2
3706,60041520.0,2025,2
3708,8567776.0,2025,2
3711,314935005.0,2025,2
3712,16496240.0,2025,2
3714,43645056.0,2025,2
3715,7409170.0,2025,2
3716,7384670.0,2025,2
4104,10803631.0,2025,2
4106,2343753.0,2025,2
4108,2281178.0,2025,2
4119,5382520.0,2025,2
4133,1230986.0,2025,2
4137,4408458.0,2025,2
4142,4904567.0,2025,2
4148,2988752.0,2025,2
4155,2444289.0,2025,2
4164,7393951.0,2025,2
4169,1054526.0,2025,2
4178,1696230.0,2025,2
4190,1551193.0,2025,2
4195,601227.0,2025,2
4306,12473597.0,2025,2
4414,4081616.0,2025,2
4426,2031214.0,2025,2
4438,8835863.0,2025,2
4439,2948900.0,2025,2
4440,1270140.0,2025,2
4441,4634754.0,2025,2
4526,4902515.0,2025,2
4532,10084638.0,2025,2
4536,8925314.0,2025,2
4540,3374013.0,2025,2
4545,1805992.0,2025,2
4551,7996734.0,2025,2
4552,5623039.0,2025,2
4555,2748532.0,2025,2
4557,2764330.0,2025,2
4560,1721122.0,2025,2
4562,962424.0,2025,2
4564,4297882.0,2025,2
4566,4600589.0,2025,2
4569,2453514.0,2025,2
4571,2646096.0,2025,2
4572,1951526.0,2025,2
4576,4178677.0,2025,2
4581,1040533.0,2025,2
4582,1179523.0,2025,2
4583,9654862.0,2025,2
4585,1808126.0,2025,2
4588,832521.0,2025,2
4590,3129147.0,2025,2
4720,1593947.0,2025,2
4722,2923508.0,2025,2
4736,8974879.0,2025,2
4737,1890224.0,2025,2
4739,6274495.0,2025,2
4746,8256460.0,2025,2
4755,4720854.0,2025,2
4763,16075395.0,2025,2
4764,2067593.0,2025,2
4766,13185872.0,2025,2
4770,7465006.0,2025,2
4771,3824513.0,2025,2
4807,751028.0,2025,2
4904,86159519.0,2025,2
4906,11462584.0,2025,2
4912,3556126.0,2025,2
4915,17422121.0,2025,2
4916,2367555.0,2025,2
4919,14063850.0,2025,2
4927,5928792.0,2025,2
4930,5781461.0,2025,2
4934,1787510.0,2025,2
4935,7445061.0,2025,2
4938,213585186.0,2025,2
4942,8173341.0,2025,2
4943,166600.0,2025,2
4949,1531401.0,2025,2
4952,2050309.0,2025,2
4956,1597782.0,2025,2
4958,133145474.0,2025,2
4960,7667374.0,2025,2
4961,20907470.0,2025,2
4967,3830690.0,2025,2
4968,2493138.0,2025,2
4976,2372342.0,2025,2
4977,3438351.0,2025,2
4989,1575052.0,2025,2
4994,973213.0,2025,2
4999,3160472.0,2025,2
5007,6966340.0,2025,2
5203,4270193.0,2025,2
5215,3289466.0,2025,2
5222,2172605.0,2025,2
5225,2910662.0,2025,2
5234,3122765.0,2025,2
5236,2396336.0,2025,2
5243,7173960.0,2025,2
5244,1640543.0,2025,2
5258,4168465.0,2025,2
5269,29725946.0,2025,2
5283,4541845.0,2025,2
5284,2734754.0,2025,2
5285,2662795.0,2025,2
5288,5417682.0,2025,2
5292,1680768.0,2025,2
5306,7859651.0,2025,2
5388,14628895.0,2025,2
5434,17280824.0,2025,2
5469,41002957.0,2025,2
5471,3322165.0,2025,2
5484,464652.0,2025,2
5515,4303006.0,2025,2
5519,5302807.0,2025,2
