stock_id,date,margin_bal,short_bal
2317,2026-07-23,54448.0,368.0
2321,2026-07-23,0.0,0.0
2323,2026-07-23,29211.0,48.0
2324,2026-07-23,58120.0,877.0
2327,2026-07-23,42553.0,386.0
2328,2026-07-23,18372.0,42.0
2329,2026-07-23,16151.0,341.0
2330,2026-07-23,31932.0,82.0
2331,2026-07-23,10268.0,17.0
2332,2026-07-23,24995.0,1123.0
2337,2026-07-23,91002.0,3289.0
2338,2026-07-23,6353.0,15.0
2340,2026-07-23,9288.0,52.0
2342,2026-07-23,4720.0,48.0
2344,2026-07-23,142437.0,2567.0
2345,2026-07-23,1477.0,9.0
2347,2026-07-23,601.0,4.0
2348,2026-07-23,2528.0,3.0
2349,2026-07-23,0.0,0.0
2351,2026-07-23,14151.0,39.0
2352,2026-07-23,16527.0,2.0
2353,2026-07-23,40490.0,2314.0
2354,2026-07-23,25399.0,24.0
2355,2026-07-23,10683.0,30.0
2356,2026-07-23,29771.0,271.0
2357,2026-07-23,2179.0,18.0
2359,2026-07-23,7157.0,59.0
2360,2026-07-23,1365.0,7.0
2362,2026-07-23,2334.0,6.0
2363,2026-07-23,18379.0,164.0
2364,2026-07-23,725.0,0.0
2365,2026-07-23,9093.0,60.0
2367,2026-07-23,31235.0,823.0
2368,2026-07-23,4979.0,264.0
2369,2026-07-23,14442.0,169.0
2371,2026-07-23,50716.0,344.0
2373,2026-07-23,45.0,0.0
2374,2026-07-23,18142.0,58.0
2375,2026-07-23,6482.0,135.0
2376,2026-07-23,7117.0,492.0
2377,2026-07-23,14655.0,410.0
2379,2026-07-23,2752.0,31.0
2380,2026-07-23,0.0,0.0
2382,2026-07-23,14058.0,38.0
2383,2026-07-23,1693.0,54.0
2385,2026-07-23,3387.0,20.0
2387,2026-07-23,1332.0,0.0
2388,2026-07-23,11256.0,205.0
2390,2026-07-23,1947.0,2.0
2392,2026-07-23,4681.0,9.0
2393,2026-07-23,2766.0,12.0
2395,2026-07-23,2187.0,17.0
2397,2026-07-23,1649.0,0.0
2399,2026-07-23,11975.0,138.0
2401,2026-07-23,8602.0,139.0
2402,2026-07-23,13760.0,0.0
2404,2026-07-23,2317.0,3.0
2405,2026-07-23,8086.0,15.0
2406,2026-07-23,13562.0,456.0
2408,2026-07-23,90111.0,1010.0
2409,2026-07-23,214620.0,20327.0
2412,2026-07-23,2519.0,87.0
2413,2026-07-23,4510.0,20.0
2414,2026-07-23,570.0,19.0
2415,2026-07-23,2421.0,5.0
2417,2026-07-23,3705.0,6.0
2419,2026-07-23,6597.0,3.0
2420,2026-07-23,1176.0,2.0
2421,2026-07-23,5329.0,34.0
2423,2026-07-23,657.0,0.0
2424,2026-07-23,0.0,0.0
2425,2026-07-23,4677.0,69.0
2426,2026-07-23,14032.0,196.0
2427,2026-07-23,5431.0,19.0
2428,2026-07-23,2460.0,20.0
2429,2026-07-23,1864.0,0.0
2430,2026-07-23,97.0,7.0
2431,2026-07-23,1646.0,0.0
2432,2026-07-23,324.0,0.0
2433,2026-07-23,26.0,0.0
2434,2026-07-23,381.0,76.0
2436,2026-07-23,6344.0,638.0
2438,2026-07-23,0.0,0.0
2439,2026-07-23,3582.0,132.0
2440,2026-07-23,1587.0,0.0
2441,2026-07-23,8551.0,215.0
2442,2026-07-23,4101.0,0.0
2444,2026-07-23,0.0,0.0
2449,2026-07-23,20134.0,0.0
2450,2026-07-23,76.0,0.0
2451,2026-07-23,5739.0,55.0
2453,2026-07-23,2458.0,2.0
2454,2026-07-23,9665.0,31.0
2455,2026-07-23,9489.0,405.0
2457,2026-07-23,15289.0,43.0
2458,2026-07-23,3503.0,94.0
2459,2026-07-23,100.0,0.0
2460,2026-07-23,293.0,0.0
2461,2026-07-23,8546.0,0.0
2462,2026-07-23,2543.0,0.0
2464,2026-07-23,13335.0,727.0
2465,2026-07-23,3423.0,82.0
2466,2026-07-23,5874.0,528.0
2467,2026-07-23,1967.0,41.0
2468,2026-07-23,3397.0,5.0
2471,2026-07-23,1309.0,21.0
2472,2026-07-23,6181.0,35.0
2474,2026-07-23,9814.0,8.0
2476,2026-07-23,39960.0,19.0
2477,2026-07-23,1139.0,45.0
2478,2026-07-23,8259.0,30.0
2480,2026-07-23,349.0,0.0
2481,2026-07-23,13268.0,601.0
2482,2026-07-23,1785.0,0.0
2483,2026-07-23,1801.0,21.0
2484,2026-07-23,16987.0,608.0
2485,2026-07-23,13594.0,239.0
2486,2026-07-23,23364.0,257.0
2488,2026-07-23,466.0,0.0
2489,2026-07-23,34445.0,218.0
2491,2026-07-23,2308.0,11.0
2492,2026-07-23,9299.0,28.0
2493,2026-07-23,9207.0,118.0
2495,2026-07-23,8828.0,0.0
2496,2026-07-23,45.0,0.0
2497,2026-07-23,3582.0,0.0
2498,2026-07-23,29554.0,787.0
2501,2026-07-23,4519.0,2.0
2504,2026-07-23,4613.0,0.0
2505,2026-07-23,3399.0,0.0
2506,2026-07-23,1850.0,0.0
2509,2026-07-23,548.0,1.0
2511,2026-07-23,3241.0,1.0
2514,2026-07-23,18084.0,0.0
2515,2026-07-23,26208.0,42.0
2516,2026-07-23,0.0,0.0
2520,2026-07-23,2371.0,10.0
