stock_id,date,open,high,low,close,volume,wave_label_realtime,label_basis_last_confirmed_date,mv_short,mv_mid,mv_long,mv_short_direction,mv_mid_direction,mv_long_direction,mv_bias,is_volume_burst,mv_mid_is_core_veto_line,mv_mid_veto_active,price_volume_divergence,wave3_tidal_burst
2383,2022-07-01,180.0,183.5,173.0,173.5,1815461,2,2022-06-28,1697146.6,2015775.8461538462,1707976.0,-1,1,1,-0.006340487219960833,False,True,False,False,False
2383,2022-07-04,177.5,177.5,168.0,172.5,1291777,2,2022-06-28,1600730.2,1999277.6153846155,1739524.9,-1,-1,1,-0.079788854991383,False,True,True,False,False
2383,2022-07-05,176.0,177.0,165.5,170.5,1621218,2,2022-06-28,1624464.0,1951517.076923077,1793628.0,1,-1,1,-0.09431387110370715,False,True,True,False,False
2383,2022-07-06,173.0,174.0,162.0,163.5,3304500,2,2022-06-28,2184856.2,2042122.3846153845,1829996.1,1,1,1,0.19391303620811007,False,True,False,False,False
2383,2022-07-07,166.0,166.5,158.0,165.0,3972124,2,2022-06-28,2401016.0,2192294.4615384615,1984487.9,1,1,1,0.2098919827125174,True,True,False,False,False
2383,2022-07-08,167.5,170.5,164.5,166.5,2373154,1,2022-07-08,2512554.6,2224603.5384615385,2057062.85,1,1,1,0.22142821256044742,True,True,False,False,False
2383,2022-07-11,169.0,170.5,166.0,168.0,1170172,1,2022-07-08,2488233.6,2015859.3076923077,2085038.15,-1,-1,1,0.19337557444692322,False,True,True,False,False
2383,2022-07-12,162.5,163.5,151.5,151.5,3595565,2,2022-07-12,2883103.0,2133412.769230769,2176679.8,1,1,1,0.3245416252771769,True,True,False,False,False
2383,2022-07-13,155.5,156.0,145.0,149.0,8388472,2,2022-07-12,3899897.4,2630978.076923077,2520790.7,1,1,1,0.5470929022389679,True,True,False,False,False
2383,2022-07-14,148.5,158.0,147.0,157.0,5301314,1,2022-07-14,4165735.4,2902320.769230769,2673751.15,1,1,1,0.5580116347028032,True,True,False,False,False
2383,2022-07-15,154.5,156.5,146.5,154.5,5523114,2,2022-07-15,4795727.4,3211595.0,2843575.3,1,1,1,0.6865132426772735,True,True,False,False,False
2383,2022-07-18,153.0,156.0,148.5,156.0,4256361,3,2022-07-18,5412965.2,3500350.5384615385,2955399.0,1,1,1,0.831551408117821,True,True,False,False,True
2383,2022-07-19,153.0,164.0,153.0,160.0,4040717,3,2022-07-18,5501995.6,3588765.3076923075,3059778.05,1,1,1,0.7981682037362154,True,True,False,False,True
2383,2022-07-20,163.0,168.0,162.0,163.5,5917563,3,2022-07-18,5007813.8,3904311.6153846155,3161463.85,-1,1,1,0.5840174164888836,True,True,False,False,False
2383,2022-07-21,166.0,170.0,163.5,170.0,3396754,3,2022-07-18,4626901.8,4066232.923076923,3227933.05,-1,1,1,0.43339459906084477,True,True,False,False,False
